id,last_scraped,source,name,description,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
5506,2024-06-22,city scrape,** Fort Hill Inn Private! Minutes to center!**,"Private guest room with private bath, You do not need to cut through anyone else's space to get to guest room. No shared space.  Private entrance off main hall/stairs of the building.   Has a mini fridge, micro and coffee maker.",8229,2009-02-19,within an hour,100%,99%,t,Roxbury,11,14,"['email', 'phone']",t,Roxbury,42.32844,-71.09581,Entire guest suite,Entire home/apt,2,1.0,1.0,1.0,"[""Fire extinguisher"", ""Free street parking"", ""Bed linens"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Self check-in"", ""Coffee maker"", ""Hot water"", ""Air conditioning"", ""Bathtub"", ""Microwave"", ""Shampoo"", ""Essentials"", ""Hangers"", ""First aid kit"", ""Dryer"", ""TV with standard cable"", ""Dishes and silverware"", ""Extra pillows and blankets"", ""Keypad"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Wifi"", ""Private entrance"", ""Refrigerator"", ""Heating"", ""Hair dryer"", ""Iron"", ""Washer""]",139.0,3,90,t,6,18,31,112,2024-06-22,123,2009-03-21,2024-04-24,4.79,4.88,4.9,4.95,4.89,4.56,4.75,f,10,0.66
45987,2024-06-22,city scrape,Garden Studio,"Light and spacious garden studio apartment has all the comforts of home only footsteps from several of Boston's most historic sites. The studio features a private entrance, gleaming hardwood floors throughout, a fully equipped kitchen.",205107,2010-08-18,within an hour,100%,100%,t,Charlestown,1,3,"['email', 'phone']",t,Charlestown,42.37424,-71.06081,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,"[""Laundromat nearby"", ""Free dryer \u2013 In building"", ""Courtyard view"", ""Fire extinguisher"", ""Stainless steel oven"", ""Dishwasher"", ""Bed linens"", ""Bidet"", ""Carbon monoxide alarm"", ""Dining table"", ""Outdoor shower"", ""Safe"", ""Coffee maker"", ""Shared patio or balcony"", ""Self check-in"", ""Cooking basics"", ""Dedicated workspace"", ""All conditioner"", ""Hot water"", ""Beach access \u2013 Beachfront"", ""Bathtub"", ""Outdoor dining area"", ""Freezer"", ""Microwave"", ""Kitchen"", ""All body soap"", ""Park view"", ""Free washer \u2013 In building"", ""Hot water kettle"", ""Exercise equipment"", ""Cleaning products"", ""Shampoo"", ""Essentials"", ""Hangers"", ""Wine glasses"", ""Trash compactor"", ""Toaster"", ""Lockbox"", ""Dishes and silverware"", ""City skyline view"", ""Garden view"", ""Baking sheet"", ""Extra pillows and blankets"", ""10 inch HDTV"", ""Barbecue utensils"", ""Private backyard \u2013 Fully fenced"", ""Coffee"", ""BBQ grill"", ""Shower gel"", ""Outdoor furniture"", ""Smoke alarm"", ""Gas stove"", ""Resort access"", ""Wifi"", ""Window AC unit"", ""Private entrance"", ""Beach essentials"", ""Waterfront"", ""Refrigerator"", ""Heating"", ""Hair dryer"", ""Iron""]",100.0,29,1125,t,13,25,55,55,2024-06-22,139,2010-08-23,2024-06-18,4.66,4.68,4.76,4.74,4.71,4.82,4.52,f,1,0.83
47521,2024-06-22,city scrape,"Private Room, shared bath in Victorian House/ 1","Location: Beautiful house, convenient and safe location. The room is smaller, good for one person.  <br />Shops and eating places around the corner.  T-red line 4 min walk which takes you to South Station, Airport, downtown, Harvard sq, MIT, MGH, Porter sq, Davis sq. Easy access to the Ocean, Castle Island, Cape Cod, I-93<br />Free ride from the airport, yes, FREE, Get my directions and follow it please. <br />The room is on the second floor, cozy,",119019,2010-05-05,within an hour,100%,89%,f,Dorchester,8,8,"['email', 'phone', 'work_email']",t,Dorchester,42.29871,-71.05954,Private room in home,Private room,2,1.5,3.0,3.0,"[""Smoke alarm"", ""Shampoo"", ""Hangers"", ""Essentials"", ""First aid kit"", ""Wifi"", ""Hot water"", ""Air conditioning"", ""Extra pillows and blankets"", ""Heating"", ""Carbon monoxide alarm"", ""Hair dryer"", ""Kitchen"", ""Iron""]",100.0,1,365,t,13,43,73,348,2024-06-22,333,2010-09-08,2023-11-05,4.45,4.53,4.44,4.71,4.71,4.25,4.51,f,8,1.98
77691,2024-06-22,city scrape,Private room in Victorian house,"The house is in convenient and safe location. Big Victorian house on two floors. This room is smaller, good size for one person. smaller<br /> All hardwood floors, warm colors.<br />Shopping plaza, restaurants, library around the corner. Ocean is 5 min drive to the nearest Pleasure Bay beach. For runners end of the street is the ocean",119019,2010-05-05,within an hour,100%,89%,f,Dorchester,8,8,"['email', 'phone', 'work_email']",t,Dorchester,42.29871,-71.05954,Private room in home,Private room,2,1.5,3.0,3.0,"[""Free street parking"", ""Dishwasher"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Self check-in"", ""Coffee maker"", ""Cooking basics"", ""Hot water"", ""Air conditioning"", ""Microwave"", ""Hot water kettle"", ""Shampoo"", ""Essentials"", ""Hangers"", ""First aid kit"", ""Dryer"", ""Patio or balcony"", ""Dishes and silverware"", ""Keypad"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Wifi"", ""Refrigerator"", ""Stove"", ""Heating"", ""Cleaning available during stay"", ""Hair dryer"", ""Iron""]",100.0,1,365,t,12,42,72,347,2024-06-22,300,2011-03-06,2024-01-12,4.41,4.5,4.38,4.58,4.62,4.14,4.42,f,8,1.85
197727,2024-06-22,city scrape,"Great Boston neighborhood , Jamaica Plain","Great area of Boston<br />many local restaurants<br />Close to medical area and all transportation<br />lots of nearby green space<br />friendly, warm and great Boston experience",964356,2011-08-13,within a few hours,100%,75%,t,Jamaica Plain,1,2,"['email', 'phone']",t,Jamaica Plain,42.31331,-71.12061,Private room in condo,Private room,1,1.0,1.0,1.0,"[""Hammock"", ""Free dryer \u2013 In building"", ""Fire extinguisher"", ""Free street parking"", ""Dishwasher"", ""Bed linens"", ""Exercise equipment: free weights"", ""Free parking on premises"", ""Long term stays allowed"", ""Clothing storage"", ""Carbon monoxide alarm"", ""Single level home"", ""Dining table"", ""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hot water"", ""Bathtub"", ""Body soap"", ""Conditioner"", ""Freezer"", ""Microwave"", ""Kitchen"", ""Hot water kettle"", ""Cleaning products"", ""Shampoo"", ""Books and reading material"", ""Ceiling fan"", ""Essentials"", ""Hangers"", ""First aid kit"", ""Oven"", ""Lock on bedroom door"", ""Wine glasses"", ""Toaster"", ""TV with standard cable"", ""Dishes and silverware"", ""Baking sheet"", ""Host greets you"", ""Extra pillows and blankets"", ""Lake access"", ""Private backyard \u2013 Fully fenced"", ""Coffee"", ""Blender"", ""BBQ grill"", ""Private patio or balcony"", ""Shower gel"", ""Luggage dropoff allowed"", ""Outdoor furniture"", ""Portable fans"", ""Smoke alarm"", ""Indoor fireplace"", ""Wifi"", ""Private entrance"", ""Refrigerator"", ""Stove"", ""Heating"", ""Cleaning available during stay"", ""Hair dryer"", ""Iron"", ""Washer""]",65.0,30,90,t,19,24,24,92,2024-06-22,59,2011-09-24,2024-03-31,4.97,4.95,4.97,5.0,4.98,4.9,4.93,f,1,0.38
205894,2024-06-22,city scrape,Large bedroom in Victorian House/Room D,"Very safe area & conveninet location. Two houses attachd on the same ground. The house is 4 min to walk to the T-red line,  Fields corner stop.  Red line takes you directly to South Station, Downtown, MIT, Harvard Square. <br />Walking distance to restaurants, Irish pub, shopping plaza, banks, ocean",119019,2010-05-05,within an hour,100%,89%,f,Dorchester,8,8,"['email', 'phone', 'work_email']",t,Dorchester,42.29871,-71.05954,Private room in home,Private room,2,1.5,3.0,1.0,"[""Free street parking"", ""Bed linens"", ""Carbon monoxide alarm"", ""Self check-in"", ""Coffee maker"", ""Cooking basics"", ""Hot water"", ""Air conditioning"", ""Microwave"", ""Kitchen"", ""Shampoo"", ""Essentials"", ""Hangers"", ""First aid kit"", ""Dryer"", ""Dishes and silverware"", ""Keypad"", ""Smoke alarm"", ""Wifi"", ""Refrigerator"", ""Stove"", ""Heating"", ""Hair dryer"", ""Iron"", ""Washer""]",101.0,1,365,t,15,45,56,158,2024-06-22,217,2011-09-02,2024-05-19,4.45,4.61,4.52,4.63,4.62,4.24,4.45,f,8,1.39
257588,2024-06-22,city scrape,BOSTON LUXURY FOR LESS!! NEAR BCEC,Monthly rentals are also available rates vary between seasons.  Please message for rates.,1355344,2011-10-31,within an hour,100%,99%,t,South Boston,2,2,"['email', 'phone']",t,South Boston,42.33255,-71.04125,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,"[""Laundromat nearby"", ""Central air conditioning"", ""Fire extinguisher"", ""Free street parking"", ""Dishwasher"", ""Bed linens"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Clothing storage: closet and dresser"", ""Self check-in"", ""Fast wifi \u2013 117 Mbps"", ""Cooking basics"", ""Hot water"", ""Beach access \u2013 Beachfront"", ""Body soap"", ""Outdoor dining area"", ""Conditioner"", ""Freezer"", ""Microwave"", ""Kitchen"", ""Stainless steel gas stove"", ""Hot water kettle"", ""Cleaning products"", ""Shampoo"", ""Essentials"", ""Hangers"", ""First aid kit"", ""Oven"", ""Wine glasses"", ""Toaster"", ""Indoor fireplace: gas"", ""Dishes and silverware"", ""Extra pillows and blankets"", ""Free washer \u2013 In unit"", ""Coffee"", ""Blender"", ""BBQ grill"", ""Private patio or balcony"", ""Luggage dropoff allowed"", ""Outdoor furniture"", ""Portable fans"", ""Smoke alarm"", ""HDTV with standard cable, Roku"", ""Free dryer \u2013 In unit"", ""Smart lock"", ""Private entrance"", ""Beach essentials"", ""Refrigerator"", ""Heating"", ""Coffee maker: Keurig coffee machine"", ""Exterior security cameras on property"", ""Hair dryer"", ""Iron""]",314.0,2,365,t,6,22,38,187,2024-06-22,479,2012-07-20,2024-06-14,4.85,4.88,4.94,4.95,4.96,4.83,4.72,f,1,3.3
377474,2024-06-22,city scrape,Cozy Room in Beautiful Victorian House /E,"The house is big, Beautiful Victorian house. It is one of historical houses in the area, built in 1948. Clean, Comfortable and Colorful interior, nice hardwood floors, there is all you need to feel at home.<br />4 min to walk to Field's Corner stop on Red line subway and within minutes you are in Downtown. Uber & lift service makes the commute very affordable  when you are two or more people.",119019,2010-05-05,within an hour,100%,89%,f,Dorchester,8,8,"['email', 'phone', 'work_email']",t,Dorchester,42.29871,-71.05954,Private room in home,Private room,1,1.5,3.0,3.0,"[""Free parking on premises"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Self check-in"", ""Hot tub"", ""Hot water"", ""Air conditioning"", ""Kitchen"", ""Shampoo"", ""Essentials"", ""Hangers"", ""First aid kit"", ""Dryer"", ""Keypad"", ""Smoke alarm"", ""Wifi"", ""Private entrance"", ""Refrigerator"", ""Heating"", ""Hair dryer"", ""Iron"", ""Washer""]",50.0,1,365,t,15,32,50,299,2024-06-22,81,2012-08-11,2024-06-16,4.6,4.54,4.68,4.77,4.73,4.22,4.52,t,8,0.56
533152,2024-06-22,city scrape,230B4 · The Penthouse w/Central AC | 2BR 1BA w/En-,Our comfortable two-bedroom apartment with tons of light has a true neighborhood feel! It comfortably fits five and is centrally located just a few blocks from Upham's Corner. Enjoy a short walk to the Redline of the Subway and zip into downtown!,71783,2010-01-19,within a day,72%,93%,f,Dorchester,30,68,"['email', 'phone', 'work_email']",t,Dorchester,42.32212,-71.06096,Entire rental unit,Entire home/apt,5,1.0,2.0,2.0,"[""Baby safety gates"", ""Fire extinguisher"", ""Dishwasher"", ""Bed linens"", ""Clothing storage"", ""Carbon monoxide alarm"", ""Self check-in"", ""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hot water"", ""Air conditioning"", ""Microwave"", ""Kitchen"", ""Hot water kettle"", ""Shampoo"", ""Essentials"", ""Hangers"", ""Oven"", ""Dryer"", ""Toaster"", ""TV with standard cable"", ""Pack \u2019n play/Travel crib"", ""Dishes and silverware"", ""Private patio or balcony"", ""Smoke alarm"", ""High chair"", ""Wifi"", ""Smart lock"", ""Private entrance"", ""Refrigerator"", ""Stove"", ""Heating"", ""Hair dryer"", ""Iron"", ""Washer""]",135.0,30,1125,t,6,9,34,259,2024-06-22,62,2014-04-14,2023-09-19,4.66,4.84,4.77,4.48,4.52,4.45,4.72,t,29,0.5
708802,2024-06-22,city scrape,Boston / Charlestown Apartment,Conveniently located apartment in historic neighborhood for access to all that Boston has to offer. Two night minimum.,3648427,2012-09-23,within an hour,100%,91%,t,Charlestown,2,2,"['email', 'phone']",t,Charlestown,42.37826919555664,-71.06332397460938,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,"[""Backyard"", ""Fire extinguisher"", ""Bed linens"", ""Carbon monoxide alarm"", ""Self check-in"", ""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hot water"", ""Microwave"", ""Kitchen"", ""Shampoo"", ""Essentials"", ""Hangers"", ""Oven"", ""Patio or balcony"", ""TV with standard cable"", ""Pack \u2019n play/Travel crib"", ""Dishes and silverware"", ""Extra pillows and blankets"", ""Free washer \u2013 In unit"", ""Keypad"", ""BBQ grill"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Free dryer \u2013 In unit"", ""Wifi"", ""Window AC unit"", ""Private entrance"", ""Refrigerator"", ""Stove"", ""Heating"", ""Hair dryer"", ""Iron""]",218.0,2,60,t,9,24,26,190,2024-06-22,458,2012-10-13,2024-06-17,4.91,4.95,4.93,4.98,4.97,4.88,4.85,f,1,3.22
